Page URL,sentence
https://hakuteikoubou.skr.jp/storage/script_FFT/FFT_script000.html,"はじめに
以下のページはシナリオについての
ネタバレそのもの
です。"
https://hakuteikoubou.skr.jp/storage/script_FFT/FFT_script000.html,"一回しか見ていないからよく覚えていない
ブレイブストーリーに記載される記録以外の台詞も読み返したい、
シナリオに関して深く考えてみたいがそのためにゲームをやり直すのは気がひける　等々
といった方を対象としています。"
https://hakuteikoubou.skr.jp/storage/script_FFT/FFT_script000.html,"よって、
該当箇所まで進んでいない方は読み進めないことを強くお勧めします
。"
https://hakuteikoubou.skr.jp/storage/script_FFT/FFT_script000.html,状況説明としてへっぽこなト書きをつけましたが、実際の画面ではキャラはもっと細かい演技をしています。できれば本物をご覧になってください。
https://hakuteikoubou.skr.jp/storage/script_FFT/FFT_script000.html,"※ 右側の数字はBGMです
53/1-10…ミュージックモードの53番目／サウンドトラックディスク１の10番目
ミュージックモード…主人公の名前を『ＢＧＭききたい』と入力
※ 戦闘時のイベント発生条件に特定キャラのHPがある場合
目安として5%単位で区切っています（それ以上細かいことはわかりませんでした）
非フレーム版→
左側のメニューページ
へとびます
[
Home
] ＞ [
Storage
] ＞ [
Script - Final Fantasy Tactics
]"
https://hakuteikoubou.skr.jp/storage/script_FFT/FFT_script001.html,"デモ・キャラメイキング
タイトルバック
-- /1-01
デモ１
太陽と聖印に護られた双頭の獅子が
治める国・イヴァリース…
“五十年戦争”の敗北より１年後
前王の病死により
即位することになった王子はわずか２歳
その後見人が事実上の王といえる
後見人は王妃の実兄・ラーグ公が
有力視されていたが
王妃の支配を恐れた議会がラーグ公を排斥
前王の従弟にあたるゴルターナ公を
摂政に任命し、後見人とした
ゴルターナ公とラーグ公はどちらも
先の“五十年戦争”において
多くの武功を挙げた将軍同士
ゴルターナ公には王家に仕える
有力貴族の大半が味方したが
“五十年戦争”のツケによって没落した貴族や
職を失った騎士らはこぞってラーグ公を味方した
黒獅子を紋章とするゴルターナ公と
白獅子を紋章とするラーグ公
後に“獅子戦争”と呼ばれる
戦乱の始まりである…
-- / 1-02
デモ２
-- /1-03
デモ３
-- /1-04
キャラメイキング
私はイヴァリースの中世史を研究している
アラズラムと申す者…
貴君は“獅子戦争”をご存じかな？
かつて、
イヴァリースを二分して争われた後継者戦争は
一人の無名の若者、ディリータという名の
若き英雄の登場によって
幕を閉じたとされている…
ここで暮らす者ならば
誰もが知っている英雄譚だ
しかし、我々は知っている
目に見えるものだけが“真実”ではないことを
ここに一人の若者がいる
当時、騎士たちの棟梁として名高い
名門ベオルブ家の末弟だ
彼が歴史の表舞台で活躍したという記録はない…
しかし、昨年公開された
（長年、教会の手によって隠匿されていた）
“デュライ白書”によれば
この名も無き若者こそが真の英雄だという…
いやいや、教会によれば
この若者は神を冒涜し
国家の秩序を乱した元凶そのものだとか…
どちらが“真実”なのか？
さあ、私と共に
“真実”を探求する旅へと出かけよう
おっと、その前に、
貴君の“名前”と“誕生日”を
教えてくれないかな…？
34 / 1-05
オープニングムービー
-- /1-06
進む →
[
Home
] ＞ [
Storage
] ＞ [
Script - Final Fantasy Tactics
]"
https://hakuteikoubou.skr.jp/storage/script_FFT/chap1/FFT_script101.html,"プロローグ
オーボンヌ修道院
→記録：王女の祈り
礼拝堂にて
オヴェリア：祈っている
シモンとアグリアス：傍らに佇んでいる
51/1-07
…我ら罪深きイヴァリースの子らが
神々の御力により救われんことを。"
https://hakuteikoubou.skr.jp/storage/script_FFT/chap1/FFT_script101.html,"女騎士
「さ、出発いたしますよ、オヴェリア様。"
https://hakuteikoubou.skr.jp/storage/script_FFT/chap1/FFT_script101.html,"オヴェリアと呼ばれた娘
「もう少し待って、アグリアス…。"
https://hakuteikoubou.skr.jp/storage/script_FFT/chap1/FFT_script101.html,"アグリアスと呼ばれた女騎士
「すでに護衛隊が到着しているのです。"
https://hakuteikoubou.skr.jp/storage/script_FFT/chap1/FFT_script101.html,"神父
「姫様、アグリアス殿を困らせては
なりませぬ。さ、お急ぎを…。"
https://hakuteikoubou.skr.jp/storage/script_FFT/chap1/FFT_script101.html,"ガフガリオン、ラムザ、ラッド：登場
黒鎧の剣士
「まだかよ！"
https://hakuteikoubou.skr.jp/storage/script_FFT/chap1/FFT_script101.html,もう小一時間にもなるンだぞ！
https://hakuteikoubou.skr.jp/storage/script_FFT/chap1/FFT_script101.html,"騎士アグリアス
「無礼であろう、ガフガリオン殿。"
https://hakuteikoubou.skr.jp/storage/script_FFT/chap1/FFT_script101.html,王女の御前ぞ。
https://hakuteikoubou.skr.jp/storage/script_FFT/chap1/FFT_script101.html,"ラムザたち：敬礼
ガフガリオンと呼ばれた剣士
「これでいいかい、アグリアスさんよ。"
https://hakuteikoubou.skr.jp/storage/script_FFT/chap1/FFT_script101.html,「…こちらとしては一刻を争うンだ。
https://hakuteikoubou.skr.jp/storage/script_FFT/chap1/FFT_script101.html,"騎士アグリアス
「誇り高き北天騎士団にも
貴公のように失敬な輩がいるのだな。"
https://hakuteikoubou.skr.jp/storage/script_FFT/chap1/FFT_script101.html,"剣士ガフガリオン
「辺境の護衛隊長殿には十分すぎるほど
紳士的なつもりだがね…。"
https://hakuteikoubou.skr.jp/storage/script_FFT/chap1/FFT_script101.html,"「それに、オレたちは
北天騎士団に雇われた傭兵だ。"
https://hakuteikoubou.skr.jp/storage/script_FFT/chap1/FFT_script101.html,あんたに礼をつくす義理はないンだ。
https://hakuteikoubou.skr.jp/storage/script_FFT/chap1/FFT_script101.html,"騎士アグリアス
「なんだと、無礼な口を！"
https://hakuteikoubou.skr.jp/storage/script_FFT/chap1/FFT_script101.html,"オヴェリア：祈りを止め立ち上がり
王女オヴェリア
「わかりました。参りましょう。"
https://hakuteikoubou.skr.jp/storage/script_FFT/chap1/FFT_script101.html,"オヴェリア：シモンの前に歩み寄る
神父
「どうかご無事で。"
https://hakuteikoubou.skr.jp/storage/script_FFT/chap1/FFT_script101.html,"王女オヴェリア
「シモン先生も。"
