sentence,cleaned_sentence
アレインが戦線離脱状態から復帰しました。。,アレインが戦線離脱状態から復帰しました。。
即座に敵を倒す力がなければ。,即座に敵を倒す力がなければ。
先に進むのは難しいでしょう。,先に進むのは難しいでしょう。
部隊を鍛え、地域を制圧し 戦力を増強してから再度挑むのです。,部隊を鍛え、地域を制圧し戦力を増強してから再度挑むのです。
誰に見られているかわからんのだ すまんが、取引は夜にしてくれ。,誰に見られているかわからんのだすまんが、取引は夜にしてくれ。
よく来た、ワシの見込んだ客人よ さあじっくりと商品を見ていってくれ。,よく来た、ワシの見込んだ客人よさあじっくりと商品を見ていってくれ。
…もしかしたら いや、まだワシは信じないぞ。,もしかしたらいや、まだワシは信じないぞ。
自由に商売ができる その日が来ることを祈っておるぞ。,自由に商売ができるその日が来ることを祈っておるぞ。
これはこれは、ゼノイラ軍のお方で？ なに？解放軍だと…フン。,これはこれは、ゼノイラ軍のお方でなに解放軍だとフン。
ワシは一流の武具を揃える商人よ 商売相手はゼノイラ軍だけ。,ワシは一流の武具を揃える商人よ商売相手はゼノイラ軍だけ。
そうしなければ潰されるからな だが、そうだな。,そうしなければ潰されるからなだが、そうだな。
お前たちが解放地域とやらを増やせば 取引を考えてやらんでもない。,お前たちが解放地域とやらを増やせば取引を考えてやらんでもない。
いや、解放軍とやらは事実 解放地域を増やしておるのか…。,いや、解放軍とやらは事実解放地域を増やしておるのか。
現実を変えたという結果があるなら ワシも考えを改めねばなるまい。,現実を変えたという結果があるならワシも考えを改めねばなるまい。
目立たぬよう夜にしか取引はできんが 約束の証として取引証を渡そう。,目立たぬよう夜にしか取引はできんが約束の証として取引証を渡そう。
解放地域を増やす。,解放地域を増やす。
解放軍がここまで その解放地域を増やすとはな。,解放軍がここまでその解放地域を増やすとはな。
無謀にも思えたがやり遂げたか… この結果ならば充分といえよう。,無謀にも思えたがやり遂げたかこの結果ならば充分といえよう。
ワシも商人として 約束を違えるわけにもいかんな。,ワシも商人として約束を違えるわけにもいかんな。
目立たぬよう夜にしか取引はできんが 約束の証として取引証を渡そう。,目立たぬよう夜にしか取引はできんが約束の証として取引証を渡そう。
長いものには巻かれろというぞ それも嫌なら目と耳と口を塞ぐがいい。,長いものには巻かれろというぞそれも嫌なら目と耳と口を塞ぐがいい。
砦に傭兵が集まってきているようです。,砦に傭兵が集まってきているようです。
砦の#c(13)「ユニット拡充」#/cで #c(13)編成枠を増やす#/cことができるようになりました。,砦の「ユニット拡充」編成枠を増やすことができるようになりました。
これを機に指揮する部隊数も 増やしてみてはいかがでしょうか。,これを機に指揮する部隊数も増やしてみてはいかがでしょうか。
一部隊あたりの配属数を４人まで 増やすことが可能になりました。,一部隊あたりの配属数を4人まで増やすことが可能になりました。
砦の機能「ユニット拡充」で #c(13)編成人数を５人#/cまで拡張できるようになりました。,砦の機能「ユニット拡充」で編成人数を5人まで拡張できるようになりました。
部隊を強化するため砦へ向かい 配置を増やすのがよろしいでしょう。,部隊を強化するため砦へ向かい配置を増やすのがよろしいでしょう。
一部隊あたりの配属数を５人まで 増やすことが可能になりました。,一部隊あたりの配属数を5人まで増やすことが可能になりました。
各地の砦で新しい仲間を雇う #c(13)「雇用」#/cが使用できるようになりました。,各地の砦で新しい仲間を雇う「雇用」が使用できるようになりました。
部隊を強化するため砦へ向かい 配置を増やすのがよろしいでしょう。,部隊を強化するため砦へ向かい配置を増やすのがよろしいでしょう。
隊員の昇級が可能になりました。,隊員の昇級が可能になりました。
各地の砦で#c(13)「クラスチェンジ」#/cが 使用できるようになりました。,各地の砦で「クラスチェンジ」が使用できるようになりました。
部隊を強化するため砦へ向かい 昇級を行うのがよろしいでしょう。,部隊を強化するため砦へ向かい昇級を行うのがよろしいでしょう。
戦力不足であれば砦へ向かい 雇用を行うのがよろしいでしょう。,戦力不足であれば砦へ向かい雇用を行うのがよろしいでしょう。
砦の機能「ユニット拡充」で #c(13)編成人数を４人#/cまで拡張できるようになりました。,砦の機能「ユニット拡充」で編成人数を4人まで拡張できるようになりました。
アレイン殿下… 私は感激しております…。,アレイン殿下私は感激しております。
歴代コルニア王の魂も 殿下に応えてくれるはず。,歴代コルニア王の魂も殿下に応えてくれるはず。
歴代王の墓所へ参りましょう。,歴代王の墓所へ参りましょう。
これも皆を救い続けられたからこそ …本当にご立派になられました。,これも皆を救い続けられたからこそ本当にご立派になられました。
すでに名声は広まっており 民は殿下への協力を惜しみません。,すでに名声は広まっており民は殿下への協力を惜しみません。
今なら歴代王の墓所… かの聖剣を手にできるやもしれません。,今なら歴代王の墓所かの聖剣を手にできるやもしれません。
ジョセフの言っていた像は これか…。,ジョセフの言っていた像はこれか。
「歴代王の墓所」を調べる。,「歴代王の墓所」を調べる。
「老人」と話す。,「老人」と話す。
瓦礫、廃屋、疫病の揃った荒廃の地…。,瓦礫、廃屋、疫病の揃った荒廃の地。
それが、過去のものとなりつつある 民はもちろん、解放軍のおかげだ。,それが、過去のものとなりつつある民はもちろん、解放軍のおかげだ。
コルニアとドラケンガルドは 昔から争ってばかりだったが…。,コルニアとドラケンガルドは昔から争ってばかりだったが。
アレインにはその辺りの わだかまりが無いからな。,アレインにはその辺りのわだかまりが無いからな。
…この戦いは両国の関係を 見つめ直す機会にもなるだろう。,この戦いは両国の関係を見つめ直す機会にもなるだろう。
そうだな、だがすべては 世界を取り戻してからだ。,そうだな、だがすべては世界を取り戻してからだ。
世界を取り戻す戦い…。,世界を取り戻す戦い。
それに私も参戦できたこと 嬉しく思う。,それに私も参戦できたこと嬉しく思う。
誓って、いざ決戦の折りには 我が国の精鋭も駆けつけさせよう。,誓って、いざ決戦の折りには我が国の精鋭も駆けつけさせよう。
解放軍に参戦できぬことは 悔しいが…。,解放軍に参戦できぬことは悔しいが。
いざ決戦の折には 私も精鋭を率いて必ず駆けつけるぞ。,いざ決戦の折には私も精鋭を率いて必ず駆けつけるぞ。
ドラケンガルド王国のすべての町の復興が完了しました。,ドラケンガルド王国のすべての町の復興が完了しました。
思ったよりもずっと早く エルヘイムを復興できたわね。,思ったよりもずっと早くエルヘイムを復興できたわね。
でも…エルヘイム開闢以来、この地が これほど汚されたことはなかった。,でもエルヘイム開闢以来、この地がこれほど汚されたことはなかった。
人間に降伏し、あまつさえ 死した者は屍の兵として扱われた。,人間に降伏し、あまつさえ死した者は屍の兵として扱われた。
それでも、陽はまた昇り始めました お姉様が彼を連れてきてくれたから。,それでも、陽はまた昇り始めましたお姉様が彼を連れてきてくれたから。
コルニアの王子アレイン… 剣のみに依らず、大地にも尽くせる人。,コルニアの王子アレイン剣のみに依らず、大地にも尽くせる人。
行きましょう、お姉様 アレイン様とこれからも戦うために。,行きましょう、お姉様アレイン様とこれからも戦うために。
エルヘイムのすべての町の復興が完了しました。,エルヘイムのすべての町の復興が完了しました。
各地の氏族長たちから報告が来ている 町や村の復興がずっと早く進んだと。,各地の氏族長たちから報告が来ている町や村の復興がずっと早く進んだと。
アレインって王子様なのに、村の 復興にまで気を配っててすごいよね。,アレインって王子様なのに、村の復興にまで気を配っててすごいよね。
収集した品を売却して軍費に回す… アレイン様はそうはしませんでした。,収集した品を売却して軍費に回すアレイン様はそうはしませんでした。
彼は王侯の生まれながらも 育ったのはパレヴィア島と聞いた。,彼は王侯の生まれながらも育ったのはパレィア島と聞いた。
市井の人々の暮らしが即ち国の土台 それを守りたいとお考えなのでしょう。,市井の人々の暮らしが即ち国の土台それを守りたいとお考えなのでしょう。
暖かいベッド、お肉入りのスープに パンを浸して食べられる…。,暖かいベッド、お肉入りのスープにパンを浸して食べられる。
バストリアスは落ちついた あとはゼノイラを討ち倒そう。,バストリアスは落ちついたあとはゼノイラを討ち倒そう。
うん！ 行こう、アレインと一緒に！。,うん行こう、アレインと一緒に。
バストリアスのすべての町の復興が完了しました。,バストリアスのすべての町の復興が完了しました。
アルビオン各地の復興が 一段落ついた。,アルビオン各地の復興が一段落ついた。
解放軍の物資のおかげですね。,解放軍の物資のおかげですね。
それはもちろんだが 各地を視察し、あらためてわかった。,それはもちろんだが各地を視察し、あらためてわかった。
我々が守っている正教もまた 復興の力になっていると。,我々が守っている正教もまた復興の力になっていると。
そうですね この国の民には強い信仰心がある。,そうですねこの国の民には強い信仰心がある。
私もまたそれを信じればよかった 策など最初から不要だった。,私もまたそれを信じればよかった策など最初から不要だった。
これから信じ続ければいい その心はきっと皆にも伝わるはずだ。,これから信じ続ければいいその心はきっと皆にも伝わるはずだ。
サナティオ、スカーレット様と アレイン殿のこと、頼んだぞ。,サナティオ、スカーレット様とアレイン殿のこと、頼んだぞ。
アルビオン教国のすべての町の復興が完了しました。,アルビオン教国のすべての町の復興が完了しました。
思い返せばこの港町に着いた時から 我らの戦いが始まった。,思い返せばこの港町に着いた時から我らの戦いが始まった。
今やコルニアの大半の町や村が 昔の姿を取り戻している。,今やコルニアの大半の町や村が昔の姿を取り戻している。
アレインの指示で 復興に力を入れたおかげですね。,アレインの指示で復興に力を入れたおかげですね。
おかげで、今や王子の名声は コルニア中にとどろいています！。,おかげで、今や王子の名声はコルニア中にとどろいています。
俺なんか、復興へ回す物資は 軍費に回せばいいって考えてたぜ。,俺なんか、復興へ回す物資は軍費に回せばいいって考えてたぜ。
そう、理屈ではわかっていても 復興に物資を回す判断は難しいはず。,そう、理屈ではわかっていても復興に物資を回す判断は難しいはず。
戦いだけでなく復興にも目を配れる 殿下には間違いなく名君の資質がある。,戦いだけでなく復興にも目を配れる殿下には間違いなく名君の資質がある。
ジョセフ様…それ、アレインに 直接言ってやってくださいよ。,ジョセフ様それ、アレインに直接言ってやってくださいよ。
…まだ王都が グランコリヌが残っている。,まだ王都がグランコリヌが残っている。
コルニアの本当の復興とは ガレリウスを倒したときこそなのだ。,コルニアの本当の復興とはガレリウスを倒したときこそなのだ。
コルニアの王都以外のすべての町の復興が完了しました。,コルニアの王都以外のすべての町の復興が完了しました。
それってすっごく幸せなことだよね。,それってすっごく幸せなことだよね。
金を払えば掘ってもらえるぜ 採掘師に依頼するかい？。,金を払えば掘ってもらえるぜ採掘師に依頼するかい。
１．採掘を依頼する（1000G） ２．やめておく。,1採掘を依頼する10002やめておく。
金が足りないぜ。,金が足りないぜ。
お前色んな場所を旅してきたクチだろ 俺もそうだぜ！。,お前色んな場所を旅してきたクチだろ俺もそうだぜ。
だからこそ言える！この国にゃ いい鉱石がたくさん埋まってるってな。,だからこそ言えるこの国にゃいい鉱石がたくさん埋まってるってな。
気づいたら鉱石を掘って 金を稼ぐことよりも…。,気づいたら鉱石を掘って金を稼ぐことよりも。
こうやってピッケルを振ることが 目的になっちまった…。,こうやってピッケルを振ることが目的になっちまった。
正教なんて知ったことか！ 俺が信じるのは神じゃなくて金だ！！。,正教なんて知ったことか俺が信じるのは神じゃなくて金だ。
天使にはさ、地べたをはいずる 俺たちの気持ちがわかるかな…。,天使にはさ、地べたをはいずる俺たちの気持ちがわかるかな。
わかんねえだろうなあ…。,わかんねえだろうなあ。
ゼノイラの奴らももっと 金をばらまいてくれればな…。,ゼノイラの奴らももっと金をばらまいてくれればな。
それなら俺は黙って従うよ でもあいつらケチだからなあ…。,それなら俺は黙って従うよでもあいつらケチだからなあ。
金を払えば掘ってもらえるぜ 採掘師に依頼するかい？。,金を払えば掘ってもらえるぜ採掘師に依頼するかい。
採掘を再開したいんだが 治安が悪くてね…。,採掘を再開したいんだが治安が悪くてね。
１．採掘を依頼する（800G） ２．やめておく。,1採掘を依頼する8002やめておく。
金が足りないぜ。,金が足りないぜ。
たまーにだがよぉ… 鉱石より貴重なものが出てくるんだ。,たまーにだがよぉ鉱石より貴重なものが出てくるんだ。
教会に持ってくと喜んでくれるぜ。,教会に持ってくと喜んでくれるぜ。
俺はドラケンガルドから 来たんだけどさ。,俺はドラケンガルドから来たんだけどさ。
あの砂漠の暑さが恋しいよ。,あの砂漠の暑さが恋しいよ。
ここは俺が見つけた場所なんだ！ あっちへ行け！！。,ここは俺が見つけた場所なんだあっちへ行け。
俺って飽きっぽくてさ 周りに何もないと思うと。,俺って飽きっぽくてさ周りに何もないと思うと。
すぐ別の場所を掘りに 行っちゃうんだ。,すぐ別の場所を掘りに行っちゃうんだ。
この前ワーベアと友達に なったんだがな…。,この前ワーベアと友達になったんだがな。
あの毛皮と腕力が羨ましくて たまらねえよ…。,あの毛皮と腕力が羨ましくてたまらねえよ。
この地域が安定したら また来てくれよな。,この地域が安定したらまた来てくれよな。
金を払えば掘ってもらえるぜ 採掘師に依頼するかい？。,金を払えば掘ってもらえるぜ採掘師に依頼するかい。
１．採掘を依頼する（200G） ２．やめておく。,1採掘を依頼する2002やめておく。
金が足りないぜ。,金が足りないぜ。
一獲千金！。,一獲千金。
エイヤッ！ホイサッ！。,エイヤッホイサッ。
ここに何かある！。,ここに何かある。
妙な絵が描かれた紙が埋まってたな… 金にならないから埋めて戻しといたよ。,妙な絵が描かれた紙が埋まってたな金にならないから埋めて戻しといたよ。
腰が痛い…。,腰が痛い。
採掘を再開したいんだが 治安が悪くてね…。,採掘を再開したいんだが治安が悪くてね。
この地域が安定したら また来てくれよな。,この地域が安定したらまた来てくれよな。
金を払えば掘ってもらえるぜ 採掘師に依頼するかい？。,金を払えば掘ってもらえるぜ採掘師に依頼するかい。
１．採掘を依頼する（400G） ２．やめておく。,1採掘を依頼する4002やめておく。
金が足りないぜ。,金が足りないぜ。
うまく掘るにはコツがあるんだぜ。,うまく掘るにはコツがあるんだぜ。
無心で掘り続けりゃきっと 何かでるはずだぜ！。,無心で掘り続けりゃきっと何かでるはずだぜ。
一発で掘り出せないもんは… 珍しいもんに違いない！。,一発で掘り出せないもんは珍しいもんに違いない。
はるばる砂漠を越えてきたってのに… 何も見つからねぇなぁ。,はるばる砂漠を越えてきたってのに何も見つからねぇなぁ。
疲れたんで ひと休み中なんだ…。,疲れたんでひと休み中なんだ。
採掘を再開したいんだが 治安が悪くてね…。,採掘を再開したいんだが治安が悪くてね。
この地域が安定したら また来てくれよな。,この地域が安定したらまた来てくれよな。
金を払えば掘ってもらえるぜ 採掘師に依頼するかい？。,金を払えば掘ってもらえるぜ採掘師に依頼するかい。
１．採掘を依頼する（600G） ２．やめておく。,1採掘を依頼する6002やめておく。
金が足りないぜ。,金が足りないぜ。
こう体にググッと力が溜まればな 周りのもん一気に掘り起こせるんだ。,こう体にググッと力が溜まればな周りのもん一気に掘り起こせるんだ。
たくさん掘り出せるときもあれば ぜんぜん見つからないときもある…。,たくさん掘り出せるときもあればぜんぜん見つからないときもある。
まあこればっかりは仕方ねえよなぁ…。,まあこればっかりは仕方ねえよなぁ。
弟の奴、手も動かさず ぶつくさ言ってるみたいだがよぉ。,弟の奴、手も動かさずぶつくさ言ってるみたいだがよぉ。
エルフは高慢な奴ばっかだから 相手になんかされねーよ。,エルフは高慢な奴ばっかだから相手になんかされねーよ。
俺は隣にいる兄貴と来たんだがよ…。,俺は隣にいる兄貴と来たんだがよ。
こんなとこで汗水垂らしてるより 綺麗なエルフ姉ちゃんとお話してえ…。,こんなとこで汗水垂らしてるより綺麗なエルフ姉ちゃんとお話してえ。
風の噂じゃ解放軍ってのが 頑張ってるらしいが…。,風の噂じゃ解放軍ってのが頑張ってるらしいが。
まあ、俺たちには関係ない話だよな… えっ…あんたらが解放軍！？。,まあ、俺たちには関係ない話だよなえっあんたらが解放軍。
採掘を再開したいんだが 治安が悪くてね…。,採掘を再開したいんだが治安が悪くてね。
この地域が安定したら また来てくれよな。,この地域が安定したらまた来てくれよな。
港が復旧したら 船が出せるんだがなぁ…。,港が復旧したら船が出せるんだがなぁ。
いやぁ…助かります では魔法陣を調べてみましょうか。,いやぁ助かりますでは魔法陣を調べてみましょうか。
気が変わったら またお声がけください…。,気が変わったらまたお声がけください。
この魔法陣は おそらく古代の訓練施設。,この魔法陣はおそらく古代の訓練施設。
幻影の兵士との戦闘で 何が得られるのか調べたいのです。,幻影の兵士との戦闘で何が得られるのか調べたいのです。
私も解放軍に参加しますので どうか調査にご協力ください。,私も解放軍に参加しますのでどうか調査にご協力ください。
１．協力しよう ２．断る。,1協力しよう2断る。
いやぁ…助かります では魔法陣を調べてみましょうか。,いやぁ助かりますでは魔法陣を調べてみましょうか。
そんなぁ… お願いしますよぉ…。,そんなぁお願いしますよぉ。
気合を入れてまいりましょう それでは起動します！。,気合を入れてまいりましょうそれでは起動します。
幻影の兵士との戦闘で負けたとしても 怪我などの心配はありません。,幻影の兵士との戦闘で負けたとしても怪我などの心配はありません。
