word,frequency,example_sentence,reading,meaning,part_of_speech
ノ,14529,先に進むのは難しいでしょう。,,,
ダ,12203,誰に見られているかわからんのだすまんが、取引は夜にしてくれ。,トリスタン・ダ・クーニャとう,〔南大西洋の英領火山島〕 Tristan da Cunha.,トリスタン・ダ・クーニャ島
テ,10254,部隊を鍛え、地域を制圧し戦力を増強してから再度挑むのです。,,,
ハ,9657,先に進むのは難しいでしょう。,,"【音楽】 〔音名〕 C. [⇒ハちょうちょう, ハたんちょう]",音楽
タ,9195,アレインが戦線離脱状態から復帰しました。。,,,
ニ,9035,即座に敵を倒す力がなければ。,,"【音楽】 〔音名〕 D. [⇒ニちょうちょう, ニたんちょう]",音楽
ヲ,8330,即座に敵を倒す力がなければ。,,,
ガ,7634,アレインが戦線離脱状態から復帰しました。。,,,
スル,5765,アレインが戦線離脱状態から復帰しました。。,,,
ト,4889,よく来た、ワシの見込んだ客人よさあじっくりと商品を見ていってくれ。,,"【音楽】 〔音名〕 G. [⇒トちょうちょう, トたんちょう]",音楽
モ,4854,お前たちが解放地域とやらを増やせば取引を考えてやらんでもない。,,,
ナイ,4479,即座に敵を倒す力がなければ。,,【楽器】 〔ルーマニアのパンパイプ〕 a nai.,楽器
カ,4222,誰に見られているかわからんのだすまんが、取引は夜にしてくれ。,,,
デ,3919,砦の機能「ユニット拡充」で編成人数を5人まで拡張できるようになりました。,バン・デ・グラーフかそくき,【物】 a Van de Graaff accelerator.,バン・デ・グラーフ加速器
マス,3293,アレインが戦線離脱状態から復帰しました。。,,"1 〔大量〕 a mass. [⇒マスプロ, etc.]",
イル,2884,誰に見られているかわからんのだすまんが、取引は夜にしてくれ。,,,
デス,2613,先に進むのは難しいでしょう。,デス・マーチンしやく,【化】 〔酸化剤〕 the Dess-Martin reagent.,デス・マーチン試薬
ナ,2505,これはこれは、ゼノイラ軍のお方でなに解放軍だとフン。,,,
ヨ,2103,よく来た、ワシの見込んだ客人よさあじっくりと商品を見ていってくれ。,,,
カラ,1935,アレインが戦線離脱状態から復帰しました。。,,"Carrà, Carlo (1881-1966; イタリアの画家).",
ワタクシ,1929,アレイン殿下私は感激しております。,,,
コト,1784,自由に商売ができるその日が来ることを祈っておるぞ。,,,
レル,1600,そうしなければ潰されるからなだが、そうだな。,,,
ネ,1552,思ったよりもずっと早くエルヘイムを復興できたわね。,,,
ズ,1517,誰に見られているかわからんのだすまんが、取引は夜にしてくれ。,,,
アル,1501,現実を変えたという結果があるならワシも考えを改めねばなるまい。,ルブ・アル・ハリさばく,〔アラビア半島南部の大砂漠〕 Rub' al-Khali.,ルブ・アル・ハリ砂漠
ソウ,1486,そうしなければ潰されるからなだが、そうだな。,,,
イウ,1464,現実を変えたという結果があるならワシも考えを改めねばなるまい。,,,
ナル,1401,現実を変えたという結果があるならワシも考えを改めねばなるまい。,,,
サマ,1401,それでも、陽はまた昇り始めましたお姉様が彼を連れてきてくれたから。,,,
オレ,1367,俺なんか、復興へ回す物資は軍費に回せばいいって考えてたぜ。,,＝オーレ.,
オ,1352,これはこれは、ゼノイラ軍のお方でなに解放軍だとフン。,,,
ヨイ,1335,長いものには巻かれろというぞそれも嫌なら目と耳と口を塞ぐがいい。,,,
ソレ,1202,長いものには巻かれろというぞそれも嫌なら目と耳と口を塞ぐがいい。,,,
テル,1121,アレインって王子様なのに、村の復興にまで気を配っててすごいよね。,,【考古】 〔丘状遺跡〕 a tell.,考古
ナニ,1121,俺って飽きっぽくてさ周りに何もないと思うと。,,,
クレル,1103,誰に見られているかわからんのだすまんが、取引は夜にしてくれ。,,,
コノ,1102,無謀にも思えたがやり遂げたかこの結果ならば充分といえよう。,,,
アナタ,1075,まあ、俺たちには関係ない話だよなえっあんたらが解放軍。,,,
クル,965,よく来た、ワシの見込んだ客人よさあじっくりと商品を見ていってくれ。,,,
ヨウ,961,目立たぬよう夜にしか取引はできんが約束の証として取引証を渡そう。,,,
グン,949,これはこれは、ゼノイラ軍のお方でなに解放軍だとフン。,,,
コレ,932,これはこれは、ゼノイラ軍のお方でなに解放軍だとフン。,,,
バ,874,即座に敵を倒す力がなければ。,,,
タチ,846,お前たちが解放地域とやらを増やせば取引を考えてやらんでもない。,,"Tati, Jacques (1908-82; フランスの映画監督・喜劇俳優).",
